"## Vehicle"
"Name","Description","DistUnit","FuelUnit","ConsumptionUnit","ImportCSVDateFormat","VIN","Insurance","Plate","Make","Model","Year","TankCount","Tank1Type","Tank2Type","Active","Tank1Capacity","Tank2Capacity","FuelUnitTank2","FuelConsumptionTank2"
"BMW Z3","","1","0","2","yyyy-MM-dd","","","AB12CDE","BMW","Z3","1997","1","100","0","1","51.0","0.0","0","0"
"## Log"
"Data","Odo (mi)","Fuel (litres)","Full","Price (optional)","mpg (optional)","latitude (optional)","longitude (optional)","City (optional)","Notes (optional)","Missed","TankNumber","FuelType","VolumePrice","StationID (optional)","ExcludeDistance","UniqueId","TankCalc"
"2024-03-10 16:01","212477.0","46.301","1","67.09","21.8","51.16514","-2.99017","Somerset - Sun all Service Station","","0","1","-1","1.449","496456","0.0","218","0.0"
"## CostCategories"
"CostTypeID","Name","priority","color"
"1","Service","0",""
"2","Maintenance","0",""
"4","Registration","0",
"5","Parking","0",""
"6","Wash","0",""
"7","Tolls","0",""
"8","Tickets/Fines","0",""
"9","Tuning","0",""
"31","Insurance","0",""
"32","Accessories","0","#424242"
"33","Other","0","#424242"
"34","MOT","0","#424242"
"35","Tax","0","#424242"
"## Costs"
"CostTitle","Date","Odo","CostTypeID","Notes","Cost","flag","idR","read","RemindOdo","RemindDate","isTemplate","RepeatOdo","RepeatMonths","isIncome","UniqueId"
"MOT","2024-02-08 14:57","0","34","","0.0","0","0","0","0","2024-07-19","0","0","0","0","51"
"## FavStations"
"NameBrand","Latitude","Longitude","StationID","Description","CountryCode"
"Morrisons","51.16514","-2.99017","208772","Somerset - Sun all Service Station","GBR"
"## Category"
"IdCategory","Name"
"1","Private"
"2","Work"
